fips,county,state,block_type,year
1003,Baldwin County,Alabama,B,2013.0
4015,Mohave County,Arizona,M,2023.0
6027,Inyo County,California,B,2015.0
6037,Los Angeles County,California,B,2015.0
6071,San Bernardino County,California,B,2019.0
8015,Chaffee County,Colorado,M,2022.0
8029,Delta County,Colorado,M,2023.0
8085,Montrose County,Colorado,M,2023.0
8103,Rio Blanco County,Colorado,M,2023.0
8113,San Miguel County,Colorado,M,2023.0
13119,Franklin County,Georgia,B,2022.0
16031,Cassia County,Idaho,B,2023.0
16047,Gooding County,Idaho,B,2023.0
16053,Jerome County,Idaho,B,2023.0
16063,Lincoln County,Idaho,B,2023.0
16067,Minidoka County,Idaho,B,2023.0
16083,Twin Falls County,Idaho,B,2023.0
16087,Washington County,Idaho,B,2023.0
18003,Allen County,Indiana,B,2019.0
18011,Boone County,Indiana,M,2019.0
18015,Carroll County,Indiana,B,2009.0
18049,Fulton County,Indiana,B,2017.0
18131,Pulaski County,Indiana,B,2021.0
18157,Tippecanoe County,Indiana,B,2019.0
18177,Wayne County,Indiana,B,2016.0
18179,Wells County,Indiana,B,2013.0
19001,Adair County,Iowa,B,2019.0
19083,Hardin County,Iowa,B,2019.0
19121,Madison County,Iowa,B,2021.0
19145,Page County,Iowa,M,2023.0
19155,Pottawattamie County,Iowa,M,2023.0
19175,Union County,Iowa,M,2023.0
20003,Anderson County,Kansas,B,2016.0
20013,Brown County,Kansas,M,2023.0
20059,Franklin County,Kansas,B,2023.0
20079,Harvey County,Kansas,B,2023.0
20107,Linn County,Kansas,B,2023.0
20113,McPherson County,Kansas,M,2019.0
20131,Nemaha County,Kansas,M,2019.0
20139,Osage County,Kansas,B,2022.0
20173,Sedgwick County,Kansas,B,2019.0
21001,Adair County,Kentucky,B,2014.0
21003,Allen County,Kentucky,B,2014.0
21005,Anderson County,Kentucky,B,2014.0
21007,Ballard County,Kentucky,B,2014.0
21009,Barren County,Kentucky,B,2014.0
21011,Bath County,Kentucky,B,2014.0
21013,Bell County,Kentucky,B,2014.0
21015,Boone County,Kentucky,B,2014.0
21017,Bourbon County,Kentucky,B,2014.0
21019,Boyd County,Kentucky,B,2014.0
21021,Boyle County,Kentucky,B,2014.0
21023,Bracken County,Kentucky,B,2014.0
